Index,ABox,Run,Time,Judgement
0,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1195,I
203,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7596,I
204,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6086,I
205,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6097,I
206,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6061,I
207,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.607,I
208,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9612,I
209,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6008,I
210,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1129,I
211,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7636,I
212,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6117,I
213,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9576,I
214,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6036,I
215,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9635,I
216,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7645,I
217,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1184,I
218,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.762,I
219,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.603,I
220,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1136,I
221,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6097,I
222,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6135,I
223,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6073,I
224,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1167,I
225,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7599,I
226,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1153,I
227,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7604,I
228,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7645,I
229,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9592,I
